algorithm,checkpoint,step,model_path,mean_reward,std_reward,min_reward,max_reward,mean_caught,mean_missed,mean_coverage,mean_false
A2C,wildlife_a2c_5000_steps.zip,5000,models/a2c/wildlife_a2c_5000_steps.zip,-46.2675,10.6089,-67.4202,-40.0150,0.0000,8.4000,11.4000,0.0000
A2C,wildlife_a2c_10000_steps.zip,10000,models/a2c/wildlife_a2c_10000_steps.zip,-44.4973,6.9245,-56.2692,-35.0446,0.0000,8.4000,10.4000,0.0000
A2C,wildlife_a2c_15000_steps.zip,15000,models/a2c/wildlife_a2c_15000_steps.zip,230.0374,279.7324,10.4740,775.2558,2.6000,4.6000,11.8000,0.0000
A2C,wildlife_a2c_20000_steps.zip,20000,models/a2c/wildlife_a2c_20000_steps.zip,-34.4646,21.9979,-53.1484,8.4224,0.4000,3.8000,8.0000,0.0000
A2C,wildlife_a2c_25000_steps.zip,25000,models/a2c/wildlife_a2c_25000_steps.zip,1414.8255,1705.0261,-1092.6962,3596.4922,0.0000,5.8000,6.2000,37.2000
A2C,wildlife_a2c_30000_steps.zip,30000,models/a2c/wildlife_a2c_30000_steps.zip,3441.6816,737.8606,2096.6870,4270.7092,0.0000,8.2000,4.6000,7.4000
A2C,wildlife_a2c_35000_steps.zip,35000,models/a2c/wildlife_a2c_35000_steps.zip,2368.9631,427.4638,1801.5046,2986.0108,0.0000,9.0000,11.0000,0.0000
A2C,wildlife_a2c_40000_steps.zip,40000,models/a2c/wildlife_a2c_40000_steps.zip,1073.6438,1939.1108,-2251.4258,3028.2228,0.0000,9.6000,7.4000,199.4000
A2C,wildlife_a2c_45000_steps.zip,45000,models/a2c/wildlife_a2c_45000_steps.zip,2502.8170,1159.3596,270.7974,3640.5970,0.0000,4.8000,5.6000,21.0000
A2C,wildlife_a2c_50000_steps.zip,50000,models/a2c/wildlife_a2c_50000_steps.zip,1684.1285,1542.7139,-23.5716,3699.9000,0.0000,5.0000,14.6000,20.4000
A2C,wildlife_a2c_55000_steps.zip,55000,models/a2c/wildlife_a2c_55000_steps.zip,3025.0479,748.2075,2204.0232,4321.0094,0.0000,7.2000,14.2000,53.4000
A2C,wildlife_a2c_60000_steps.zip,60000,models/a2c/wildlife_a2c_60000_steps.zip,2107.9424,1128.7024,744.8460,4085.9152,0.0000,9.0000,12.8000,38.6000
A2C,wildlife_a2c_65000_steps.zip,65000,models/a2c/wildlife_a2c_65000_steps.zip,-60.8132,11.2187,-78.6160,-45.1778,0.0000,10.0000,11.6000,0.0000
A2C,wildlife_a2c_70000_steps.zip,70000,models/a2c/wildlife_a2c_70000_steps.zip,423.5744,893.2927,-80.4552,2204.9534,0.0000,5.6000,4.8000,38.8000
A2C,wildlife_a2c_75000_steps.zip,75000,models/a2c/wildlife_a2c_75000_steps.zip,1210.6980,1122.3516,-620.5132,2395.5470,0.0000,4.6000,4.6000,79.8000
A2C,wildlife_a2c_80000_steps.zip,80000,models/a2c/wildlife_a2c_80000_steps.zip,2573.4220,564.3870,1639.1370,3316.6112,0.0000,6.4000,9.4000,31.0000
A2C,wildlife_a2c_85000_steps.zip,85000,models/a2c/wildlife_a2c_85000_steps.zip,3009.1713,1227.7705,1859.4230,5127.9086,0.0000,9.0000,9.8000,0.0000
A2C,wildlife_a2c_90000_steps.zip,90000,models/a2c/wildlife_a2c_90000_steps.zip,3524.0374,490.1893,2998.4360,4392.0482,0.0000,6.6000,8.4000,6.4000
A2C,wildlife_a2c_95000_steps.zip,95000,models/a2c/wildlife_a2c_95000_steps.zip,1498.1408,979.6995,541.8348,3001.3332,0.0000,7.0000,13.4000,53.2000
A2C,wildlife_a2c_100000_steps.zip,100000,models/a2c/wildlife_a2c_100000_steps.zip,909.2226,824.1953,-94.0628,1894.4510,0.0000,7.8000,23.2000,74.0000
A2C,wildlife_a2c_105000_steps.zip,105000,models/a2c/wildlife_a2c_105000_steps.zip,408.4591,936.5214,-74.9944,2281.2228,0.2000,8.4000,13.4000,1.0000
A2C,wildlife_a2c_110000_steps.zip,110000,models/a2c/wildlife_a2c_110000_steps.zip,1503.2289,520.0191,945.2408,2303.9948,0.0000,6.0000,15.2000,33.2000
A2C,wildlife_a2c_115000_steps.zip,115000,models/a2c/wildlife_a2c_115000_steps.zip,1417.8910,1176.6218,-46.8284,3362.3672,0.0000,8.0000,15.6000,25.2000
A2C,wildlife_a2c_120000_steps.zip,120000,models/a2c/wildlife_a2c_120000_steps.zip,-51.4875,5.3005,-59.3562,-45.2006,0.0000,8.6000,12.2000,1.0000
A2C,wildlife_a2c_125000_steps.zip,125000,models/a2c/wildlife_a2c_125000_steps.zip,2259.0457,935.0856,646.6382,3325.0174,0.0000,3.8000,10.0000,25.0000
