step,action,reward,total_reward,battery,coverage_pct,threats_caught,threats_missed,false_alerts
1,Move East,2.7,2.7,0.996,2.0,0,0,0
2,Move East,2.699,5.399,0.992,3.0,0,0,0
3,Move East,-0.301,5.098,0.988,3.0,0,0,0
4,Move South,2.698,7.796,0.984,4.0,0,0,0
5,Investigate,56.108,63.904,0.978,4.0,1,0,0
6,Move East,-0.303,63.601,0.974,4.0,1,0,0
7,Move East,-0.303,63.298,0.97,4.0,1,0,0
8,Move East,-0.303,62.995,0.966,4.0,1,0,0
9,Dispatch Alert,-15.304,47.691,0.961,4.0,1,0,1
10,Move North,-0.304,47.387,0.957,4.0,1,0,1
11,Investigate,-0.305,47.082,0.951,4.0,1,0,1
12,Investigate,-0.305,46.776,0.945,4.0,1,0,1
13,Move North,2.694,49.471,0.941,5.0,1,0,1
14,Investigate,-0.306,49.164,0.935,5.0,1,0,1
15,Dispatch Alert,19.693,68.857,0.93,5.0,1,0,1
16,Move West,2.693,71.55,0.926,6.0,1,0,1
17,Move North,2.692,74.242,0.922,7.0,1,0,1
18,Move West,2.692,76.934,0.918,8.0,1,0,1
19,Recharge,-0.3,76.634,1.0,8.0,1,0,1
20,Move West,2.7,79.333,0.996,9.0,1,0,1
21,Move North,3.199,82.532,0.992,10.0,1,0,1
22,Move East,2.699,85.231,0.988,11.0,1,0,1
23,Move South,-0.302,84.93,0.984,11.0,1,0,1
24,Move South,2.698,87.628,0.98,12.0,1,0,1
25,Move West,2.698,90.325,0.976,13.0,1,0,1
26,Move East,-0.303,90.022,0.972,13.0,1,0,1
27,Move East,-0.303,89.719,0.968,13.0,1,0,1
28,Move North,-0.304,89.416,0.964,13.0,1,0,1
29,Move South,-0.304,89.112,0.96,13.0,1,0,1
30,Move North,-0.304,88.807,0.956,13.0,1,0,1
31,Dispatch Alert,19.695,108.502,0.951,13.0,1,0,1
32,Move North,2.695,111.197,0.947,14.0,1,0,1
33,Move South,-0.306,110.891,0.943,14.0,1,0,1
34,Recharge,-0.3,110.591,1.0,14.0,1,0,1
35,Recharge,-0.3,110.291,1.0,14.0,1,0,1
36,Recharge,-5.3,104.991,1.0,14.0,1,0,1
37,Move East,2.7,107.691,0.996,15.0,1,0,1
38,Move North,2.699,110.39,0.992,16.0,1,0,1
39,Move North,2.699,113.089,0.988,17.0,1,0,1
40,Recharge,-5.301,107.788,0.988,17.0,1,0,1
41,Move North,2.698,110.486,0.984,18.0,1,0,1
42,Dispatch Alert,19.698,130.184,0.979,18.0,1,0,1
43,Move East,-0.302,129.882,0.975,18.0,1,0,1
44,Move North,-0.303,129.579,0.971,18.0,1,0,1
45,Move East,-0.303,129.275,0.967,18.0,1,0,1
46,Dispatch Alert,19.696,148.972,0.962,18.0,1,0,1
47,Investigate,59.089,208.061,0.956,18.0,2,0,1
48,Investigate,-0.305,207.756,0.95,18.0,2,0,1
49,Move North,-0.305,207.45,0.946,18.0,2,0,1
50,Move North,-0.306,207.144,0.942,18.0,2,0,1
51,Recharge,-5.306,201.839,0.942,18.0,2,0,1
52,Recharge,-5.306,196.533,0.942,18.0,2,0,1
53,Investigate,-0.306,196.226,0.936,18.0,2,0,1
54,Move West,2.693,198.92,0.932,19.0,2,0,1
55,Recharge,-5.307,193.613,0.932,19.0,2,0,1
56,Move East,-0.307,193.306,0.928,19.0,2,0,1
57,Move South,-0.308,192.998,0.924,19.0,2,0,1
58,Recharge,-5.308,187.69,0.924,19.0,2,0,1
59,Investigate,-0.308,187.382,0.918,19.0,2,0,1
60,Dispatch Alert,-15.309,172.073,0.913,19.0,2,0,2
61,Move East,-0.309,171.764,0.909,19.0,2,0,2
62,Dispatch Alert,-15.31,156.455,0.904,19.0,2,0,3
63,Move East,-0.31,156.145,0.9,19.0,2,0,3
64,Move East,-0.31,155.834,0.896,19.0,2,0,3
65,Move North,-0.311,155.524,0.892,19.0,2,0,3
66,Recharge,-5.311,150.213,0.892,19.0,2,0,3
67,Recharge,-5.311,144.902,0.892,19.0,2,0,3
68,Move East,-0.311,144.591,0.888,19.0,2,0,3
